covariable,N,H,p,epsilon2,difiere_entre_grupos
Edad,46,0.40694201509135747,0.8158938587452027,0.0,False
N_Educacional,46,0.5783999093860935,0.7488624518695096,0.0,False
eTIV,46,1.252163602672681,0.5346826950840693,0.0,False
glob_SurfaceHoles,46,0.2201651423119598,0.8957601682902232,0.0,False
Edinburgo_imp,46,0.3148949559566519,0.8543216831321082,0.0,False
Genero,46,4.068248042250955,0.13079500599876878,,False
