variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,rho_Voluntario Sano,n_Voluntario Sano,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
2_supramarginal_thickness_lh,Giro supramarginal,lh,thickness,EntropyRatio_NI,46,0.1696306147748832,0.2828394728546909,-0.18237466000718128,0.47841863621867614,Edad+Genero+Grupo,0.3545738569629224,17,0.13951896228261199,19,,10,thickness_EntropyRatio_NI,B,0.603881805408458,False,14,2,2,True
2_supramarginal_thickness_rh,Giro supramarginal,rh,thickness,CSE_NI,46,0.18662342326312606,0.23665483876266868,-0.10537792812556084,0.4412878761789313,Edad+Genero+Grupo,-0.006102634949938542,17,0.3405354879037534,19,,10,thickness_CSE_NI,B,0.5521946237795603,False,14,1,2,False
2_supramarginal_thickness_rh,Giro supramarginal,rh,thickness,EntropyRatio_NI,46,0.23977684786885406,0.12615416231502105,-0.06270626737527142,0.5072066191209617,Edad+Genero+Grupo,0.1834838767422175,17,0.45119270612661644,19,,10,thickness_EntropyRatio_NI,B,0.40176113611783915,False,14,2,2,True
2_supramarginal_area_lh,Giro supramarginal,lh,area,CSE_NI,46,-0.02229338329304155,0.889963917534709,-0.34140110423760595,0.34775171330508164,Edad+Genero+Grupo+eTIV,-0.39012177092600475,17,-0.0742305340043578,19,,10,area_CSE_NI,B,0.9491480807465154,False,14,2,2,True
2_supramarginal_area_lh,Giro supramarginal,lh,area,EntropyRatio_NI,46,-0.07837826863226485,0.6261903665987891,-0.4133945833588066,0.28710990501760136,Edad+Genero+Grupo+eTIV,-0.3527048890652927,17,-0.04951263797960911,19,,10,area_EntropyRatio_NI,B,0.8309400840029241,False,14,2,2,True
2_supramarginal_area_rh,Giro supramarginal,rh,area,CSE_NI,46,0.34800968183382214,0.025770923830584498,0.01028669016234653,0.5918549272416618,Edad+Genero+Grupo+eTIV,0.43138112842492987,17,0.12116860563965506,19,,10,area_CSE_NI,B,0.1927376701320823,False,14,2,2,True
2_supramarginal_area_rh,Giro supramarginal,rh,area,EntropyRatio_NI,46,0.35750444684052385,0.02174599016175335,0.12705902671244704,0.5614365028097739,Edad+Genero+Grupo+eTIV,0.582238729398036,17,0.11074677516224667,19,,10,area_EntropyRatio_NI,B,0.3044438622645469,False,14,2,2,True
2_supramarginal_volume_lh,Giro supramarginal,lh,volume,CSE_NI,46,0.05852525776895446,0.7162559080580032,-0.21742419620837716,0.3645179110118926,Edad+Genero+Grupo+eTIV,-0.27773488064142354,17,-0.005836314728606634,19,,10,volume_CSE_NI,B,0.8537245907281243,False,16,0,2,False
2_supramarginal_volume_lh,Giro supramarginal,lh,volume,EntropyRatio_NI,46,0.019726111453734294,0.9025708369510576,-0.26317650153032246,0.28919581083116297,Edad+Genero+Grupo+eTIV,-0.2908981987438651,17,0.13583171736119773,19,,10,volume_EntropyRatio_NI,B,0.9025708369510576,False,16,1,2,False
2_supramarginal_volume_rh,Giro supramarginal,rh,volume,CSE_NI,46,0.4054588217987621,0.00854000034689584,0.057907929186922065,0.627786416593472,Edad+Genero+Grupo+eTIV,0.3149914402035047,17,0.313793558828032,19,,10,volume_CSE_NI,B,0.12399314714973736,False,16,2,2,True
