variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,roi_n,roi,hemi,medida,familia_fdr,ajusta_etiv,prioridad,modelo,p_fdr,sobrevive_fdr,n_familia
AI_1_volume,36,"Q('AI_1_volume') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.6456922710007147,1,31,0.42777582484804283,0.4792910781980279,0.42245775422457754,0.020403796683329638,8.960685074598049e-06,0.1813137566167785,0.31820301451811916,0.5779277321149834,0.7324420485177439,19,17,,0.06573157717109322,0.07563697445132207,,,,,,,-0.007600695528511283,-0.27214390422370527,-0.9883615321253079,0.5205158246159645,0.42777582484804405,C3,1,Ínsula posterior,AI,volume,volume,False,alta,dirigido_MPPP_vs_Vest,0.7510677503678204,False,20
AI_10_LGI,35,"Q('AI_10_LGI') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.009242100719868728,1,30,0.9240520251313138,0.9263605955384265,0.9228077192280771,0.0003079751460849798,2.320300088869065e-11,0.0010269098624905403,0.8949687316194428,0.7579633745031563,0.602471782873275,18,17,,-0.002224394519611031,-0.0022948968411017033,,,,,,,-0.0005871902335139556,-0.03293948067507052,-0.7263146354110007,0.7097059927929904,0.9240520251313025,C3,10,Parietal inferior,AI,LGI,LGI,False,media,dirigido_MPPP_vs_Vest,0.9843282338432823,False,16
AI_10_area,36,"Q('AI_10_area') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.3424066739303385,1,31,0.5626788706346215,0.5941682751044979,0.5685431456854314,0.01092470905289931,1.616021624560084e-08,0.09942086091092582,0.3835318014716661,0.8520098204633058,0.03221275679927295,19,17,,-0.07507549051170927,-0.06494410977897229,,,,,,,-0.010329077557733116,-0.19817867823366456,-0.9335027573095632,0.6542686349285183,0.5626788706346231,C3,10,Parietal inferior,AI,area,area,False,media,dirigido_MPPP_vs_Vest,0.7849061247721382,False,16
AI_10_thickness,36,"Q('AI_10_thickness') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.7536634012583803,1,31,0.39199009900153536,0.4526209819986074,0.3932606739326067,0.023734691387719158,4.078011323890548e-06,0.1985943783942261,0.23472205849645875,0.40383716307469736,0.30305736747741163,19,17,,0.0016000162727198028,-0.0019330041151779543,,,,,,,0.003364308273959636,0.29401841360539216,-0.5362124620862091,1.1414159108766244,0.3919900990015333,C3,10,Parietal inferior,AI,thickness,thickness,False,media,dirigido_MPPP_vs_Vest,0.8584741525847415,False,16
AI_10_volume,36,"Q('AI_10_volume') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.25485254005819136,1,31,0.6172488578551695,0.6467784260119636,0.6156384361563844,0.008154015115942596,2.3276782529953635e-09,0.08184486093447225,0.4375454955608403,0.20891634960045935,0.027065036503365232,19,17,,-0.07799356257742623,-0.06949191319748621,,,,,,,-0.009028801547392117,-0.1709740897413667,-0.9184137522776348,0.6629582929767804,0.6172488578551737,C3,10,Parietal inferior,AI,volume,volume,False,media,dirigido_MPPP_vs_Vest,0.8089191080891911,False,20
AI_11_LGI,35,"Q('AI_11_LGI') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",2.0291891526685144,1,30,0.16462302339038518,0.18213557465345748,0.1598840115988401,0.06335437163258478,3.8377786689735506e-05,0.26158433630019956,0.18676934547969057,0.5005306906741585,0.2014954798992738,18,17,,0.0011916385044590163,-0.00875000517579898,,,,,,,0.009176470576274538,0.48808185802763093,-0.3724516172993239,1.1572352273559718,0.16462302339038506,C3,11,Occipital lateral,AI,LGI,LGI,False,media,dirigido_MPPP_vs_Vest,0.5855414458554145,False,16
AI_11_area,36,"Q('AI_11_area') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",3.2546185588726475,1,31,0.08094787100529066,0.1011660123062618,0.07879212078792121,0.09501254708993497,0.00040426351777507594,0.34433577739524523,0.09619324100600886,0.9038113499187304,0.09019648991913398,19,17,,-0.004595317251610771,0.016635598597844282,,,,,,,-0.02228891424625997,-0.6109924803746055,-1.3671842928699678,0.2013066489237369,0.08094787100529059,C3,11,Occipital lateral,AI,area,area,False,media,dirigido_MPPP_vs_Vest,0.7849061247721382,False,16
AI_11_thickness,36,"Q('AI_11_thickness') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.04038762453864437,1,31,0.8420373763919604,0.8420793984678926,0.83991600839916,0.0013011314493610372,2.4269605136929486e-10,0.011549008769303822,0.45647901129931145,0.011250329183732121,0.05341140081882275,19,17,,-0.01271776911373332,-0.012139356985133201,,,,,,,-0.0012307735506413868,-0.06806282519744634,-0.7986203003845929,0.6191471333864842,0.8420373763919624,C3,11,Occipital lateral,AI,thickness,thickness,False,media,dirigido_MPPP_vs_Vest,0.95990400959904,False,16
AI_11_volume,36,"Q('AI_11_volume') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",4.446676078514541,1,31,0.04314819531924368,0.04661304034379894,0.0471952804719528,0.12544691267144864,0.004405815348433422,0.35461002123481106,0.05522572918459422,0.297310566243969,0.05119839797091905,19,17,,-0.019048777886115077,0.0075620184144612615,,,,,,,-0.02857459366148941,-0.7141732249859806,-1.3948082595861455,-0.0038703494748158823,0.04314819531924381,C3,11,Occipital lateral,AI,volume,volume,False,media,dirigido_MPPP_vs_Vest,0.627937206279372,False,20
AI_12_LGI,35,"Q('AI_12_LGI') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.17197614177914503,1,30,0.6813120988916261,0.7167549162226169,0.6895310468953104,0.005699863375571532,7.129897697562401e-08,0.06066511944223847,0.5974447210466238,0.018736040422259813,0.2945340057570824,18,17,,-0.03271438456919685,-0.030332762350634115,,,,,,,-0.0037428655959530783,-0.14209064967527948,-1.0150626305143797,0.6119814957413496,0.6813120988916225,C3,12,Cuneus,AI,LGI,LGI,False,media,dirigido_MPPP_vs_Vest,0.9652368096523681,False,16
