medida,|d| medio MPPP-Vest,difs. que sobreviven,|rho| máx con conducta,corr. conducta que sobreviven,|rho| máx con severidad,corr. severidad que sobreviven
LGI,0.5503505349022091,6,0.323948742923758,0,0.2951184716667487,0
thickness,0.19039100870521553,0,0.5992338660090631,3,0.7023917506460544,8
volume,0.30345087301372864,0,0.4054588217987621,0,0.5512069458960889,0
area,0.27719699850435736,0,0.3613328663662083,0,0.4334379866955529,0
