variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,roi,medida,hemi,familia_fdr,atlas,tipo,modelo,ajusta_etiv,p_fdr,sobrevive_fdr,n_familia
7_precuneus_LGI_rh,45,"Q('7_precuneus_LGI_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.2001259195001406,2,39,0.8194630591406143,0.8536067426762859,0.8267173282671733,0.010158611184411073,1.2720629425515869e-05,0.04143612995409663,0.7058458620024599,0.8915271960821332,0.22578268128854997,18,17,10,2.795294117647059,2.828611111111111,2.8343,-0.006716751903822843,-0.038317425686287654,-0.760401877866259,0.7421694375634268,0.9268136302126276,-0.03636166556188153,-0.20743440251292466,-0.9110734733255333,0.6481520920636565,0.547367143424326,A1,Precúneo,LGI,rh,LGI,DKT,C,A_sin_ansiedad,False,0.8267173282671733,False,14
8_isthmuscingulate_thickness_lh,46,"Q('8_isthmuscingulate_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.5762543603509321,2,40,0.566596012989267,0.6124437451226317,0.553944605539446,0.028005794944940793,3.68911806475207e-05,0.10889129297329535,0.7089684897722599,0.5861419981415711,0.8227037011430121,19,17,10,2.337705882352941,2.299526315789474,2.3525,-0.006740314208729115,-0.054215411479433456,-0.9119620531612996,0.7360741404111045,0.8965750094859362,0.03823843354569667,0.3075691050610238,-0.4412531794563257,1.1239838949101426,0.3678972038302182,A1,Istmo del cíngulo,thickness,lh,thickness,DKT,C,A_sin_ansiedad,False,0.9412058794120588,False,14
8_isthmuscingulate_thickness_rh,46,"Q('8_isthmuscingulate_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",4.016353499169656,2,40,0.025731112633741875,0.11663613606390345,0.023297670232976703,0.1672341098455483,0.020377647632648092,0.3945040950108816,0.1358867639534545,0.5960889624905484,0.06804283460167643,19,17,10,2.2733529411764706,2.235684210526316,2.3806000000000003,-0.09809997794052927,-0.8096242073826839,-1.855374842040282,0.24159583175659274,0.05777125794692139,0.04242331525601978,0.350121821734993,-0.2841905287934224,0.9662624408322581,0.3060919499472601,A1,Istmo del cíngulo,thickness,rh,thickness,DKT,C,A_sin_ansiedad,False,0.3261673832616739,False,14
8_isthmuscingulate_area_lh,46,"Q('8_isthmuscingulate_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",2.774392443474973,2,39,0.07472406922229259,0.0931898554835161,0.07069293070692931,0.12455524659159443,0.010820722538090818,0.29726826221765906,0.7164883203288038,0.5636937269719228,0.6574725434404441,19,17,10,1017.2352941176471,1040.5263157894738,997.1,88.8583702517198,0.8419184313705981,0.03524354388714454,1.5970519967447643,0.0507858486291507,-8.65212034298763,-0.08197741604490885,-0.7888945674188245,0.6671976115241403,0.8099943959940084,A1,Istmo del cíngulo,area,lh,area,DKT,C,A_sin_ansiedad,True,0.4948505149485052,False,14
8_isthmuscingulate_area_rh,46,"Q('8_isthmuscingulate_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",5.209023497196698,2,39,0.009885327569250311,0.029323030514719982,0.0096990300969903,0.2108146239687568,0.012689903458754873,0.41933918666615383,0.3354812798017491,0.9091277791479486,0.3390375067272233,19,17,10,976.9411764705883,945.1578947368421,923.3,120.49242569951792,1.346419035350647,0.11945953502277945,2.3235540287224663,0.0025626455202422734,46.394185759246014,0.5184227512492735,-0.15645781224648,1.1287062547448348,0.13388015962555752,A1,Istmo del cíngulo,area,rh,area,DKT,C,A_sin_ansiedad,True,0.1357864213578642,False,14
8_isthmuscingulate_volume_lh,46,"Q('8_isthmuscingulate_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",2.1633154896871525,2,39,0.12854017690503236,0.04625975477226088,0.12478752124787522,0.0998607757301509,0.006001035102229405,0.22500172830057494,0.8416152140160393,0.15983566812302452,0.5365230704962578,19,17,10,2494.3529411764707,2514.1052631578946,2448.3,225.4690146059247,0.8089264547604792,0.09896002842795348,1.553269748459636,0.06008009828115114,13.223262129921977,0.0474417585663463,-0.6796747336294734,0.8255637063989125,0.8893098267259368,A1,Istmo del cíngulo,volume,lh,volume,DKT,C,A_sin_ansiedad,True,0.6575342465753424,False,16
8_isthmuscingulate_volume_rh,46,"Q('8_isthmuscingulate_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",2.5486040911009313,2,39,0.09114723235344026,0.12427164670027009,0.09109089091090891,0.11559026959577805,0.004188251467557561,0.29971908577948525,0.7362753105406613,0.3335582003627078,0.8983105609216471,19,17,10,2377.0,2271.5263157894738,2333.0,227.149519591213,0.8695397080412032,-0.13115757345638224,1.7529349292959906,0.043992738118776666,148.55946868710703,0.5686930672863304,-0.10318617047094412,1.2546863259709944,0.10109192200743669,A1,Istmo del cíngulo,volume,rh,volume,DKT,C,A_sin_ansiedad,True,0.6575342465753424,False,16
8_isthmuscingulate_LGI_lh,45,"Q('8_isthmuscingulate_LGI_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",1.1026855075010733,2,39,0.3421055922399648,0.40775792434242847,0.3447655234476552,0.053521445400872864,0.0005173545067215661,0.17544203365446326,0.25871723668683055,0.07574638608565328,0.44808601150465993,18,17,10,2.509764705882353,2.585166666666667,2.5927,-0.058090815017995734,-0.3864404327361976,-1.404543055319511,0.5651174524419967,0.35687544714091324,-0.07398408372436094,-0.49216801866484733,-1.1461595067726769,0.270447453146947,0.15779057715781009,A1,Istmo del cíngulo,LGI,lh,LGI,DKT,C,A_sin_ansiedad,False,0.3712859483282441,False,14
8_isthmuscingulate_LGI_rh,45,"Q('8_isthmuscingulate_LGI_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",1.690096731928163,2,39,0.1977345710733215,0.2951069597905667,0.1917808219178082,0.07975880210974265,0.0006371304896458015,0.22467735482242535,0.5306545198768438,0.44911769520850775,0.9348846864385908,18,17,10,2.6574705882352943,2.718777777777778,2.6665,0.037148470385934995,0.24302262941198663,-0.7419875104786281,1.192709265203579,0.5610177733966393,-0.06981255998698342,-0.45670876129646426,-1.1457082551317685,0.34373962405770286,0.18915115754061254,A1,Istmo del cíngulo,LGI,rh,LGI,DKT,C,A_sin_ansiedad,False,0.24408468244084683,False,14
1_comp_thickness_lh,31,"Q('1_comp_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",0.5285353020507755,2,23,0.5964562203176226,0.6471437164284605,0.5948405159484051,0.04394012145108509,0.00012416772537524802,0.18025447087213575,0.7748011343658374,0.8645081039455192,0.9641343184586397,13,13,5,2.7675630443620074,2.776054375505599,2.7991946078550765,0.0702587539254575,0.6577083521875976,-1.2662916385871188,2.195916084853521,0.3199052617616423,0.031211299733890974,0.29217615415425924,-0.8240974481251828,1.262788823833571,0.5424982288394273,A1,Ínsula posterior,thickness,lh,thickness,DS,C,B_con_ansiedad,False,0.7570697475706974,False,14
1_comp_thickness_rh,31,"Q('1_comp_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",1.2576583877995555,2,23,0.30315101191772076,0.3876577478228244,0.30246975302469753,0.09858066030379709,0.002425727626941153,0.3561954181457311,0.880473643231078,0.3987523083526598,0.4551226718126954,13,13,5,2.8570108074069656,2.8487602817889215,2.8923296877127447,0.0652423475793738,0.6096480720970356,-0.9159018137205962,1.9394956953467997,0.3558111056510124,0.07941787972799813,0.7421093670380924,-0.714692239716297,2.0219873236720205,0.13000993052775606,A1,Ínsula posterior,thickness,rh,thickness,DS,C,B_con_ansiedad,False,0.6433356664333567,False,14
1_comp_area_lh,31,"Q('1_comp_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.1532738177572113,2,22,0.33395921045267635,0.29151115505943487,0.33386661333866613,0.09489408656885166,0.0004087817078591286,0.2831634629954775,0.5059942241345874,0.7370805102786322,0.9548543124033462,13,13,5,1642.5384615384614,1691.076923076923,1716.4,-21.099052073074517,-0.22890381357374234,-2.1443920588696495,1.983532991528316,0.7268801924374204,-64.08615356125287,-0.6952712802753716,-1.6547857570500695,1.0910072299297393,0.15636593040678104,A1,Ínsula posterior,area,lh,area,DS,C,B_con_ansiedad,True,0.44337384443373845,False,14
1_comp_area_rh,31,"Q('1_comp_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",2.8376807804870188,2,22,0.08009827293238375,0.15275069602256816,0.08039196080391961,0.20506910265544848,0.003481749292783845,0.45868944232050435,0.7101737237287726,0.3072567487611865,0.5608018833892333,13,13,5,1376.2307692307693,1393.8461538461538,1338.6,64.1502271586782,0.6874669170501526,-1.3732740377241124,2.188507473677249,0.29954524848753766,-60.606683452177364,-0.6494924752556616,-1.6444459686048767,1.4992177086358502,0.18421081370206083,A1,Ínsula posterior,area,rh,area,DS,C,B_con_ansiedad,True,0.2250974902509749,False,14
1_comp_volume_lh,31,"Q('1_comp_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.4319016716868184,2,22,0.6546606736392441,0.7006874115593932,0.6505349465053495,0.03778038720858677,0.00013742933537438254,0.13630779057615908,0.4803634177696381,0.9532480127899463,0.3051518724054274,13,13,5,3872.230769230769,3988.5384615384614,4124.6,22.502566588373156,0.0789218308942286,-2.5055145134124466,2.1735241367817464,0.9040277886181174,-101.66694323998624,-0.35657005037217027,-1.3339470785647138,0.9660154626344034,0.4596344978489036,A1,Ínsula posterior,volume,lh,volume,DS,C,B_con_ansiedad,True,0.8673799286737993,False,16
1_comp_volume_rh,31,"Q('1_comp_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.6873940578502986,2,22,0.5133634889447942,0.6891757144221239,0.5091490850914908,0.05881499797541123,0.00022924261016016046,0.23246652730331555,0.8427964774212389,0.2706481918460482,0.6934327563479467,13,13,5,3395.0,3440.846153846154,3432.8,133.20132307019196,0.44902873545105465,-1.6823162313785909,2.012823812159534,0.4949646245895183,-70.4977942869092,-0.23765180923959872,-1.2354044133711468,1.593301906329541,0.6209029715465766,A1,Ínsula posterior,volume,rh,volume,DS,C,B_con_ansiedad,True,0.7405804874058048,False,16
1_comp_LGI_lh,31,"Q('1_comp_LGI_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",2.6188321618931867,2,23,0.09447986086508164,0.12254716343090546,0.09119088091190881,0.1854850409626251,0.0018565714172883098,0.45183777039099604,0.07594624219362889,0.6420791464272382,0.8385150397687142,13,13,5,3.926644654881763,4.163473776758856,4.067886195011126,0.04446252431133735,0.24185755345684304,-1.8188558581090102,2.361624736837597,0.711945285578911,-0.15714658680677585,-0.8548117680643903,-1.8251401277935617,0.5921743640808329,0.08358447344399084,A1,Ínsula posterior,LGI,lh,LGI,DS,C,B_con_ansiedad,False,0.2105039496050395,False,14
1_comp_LGI_rh,31,"Q('1_comp_LGI_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",4.189429195774959,2,23,0.02808943556913373,0.0640018336318388,0.0314968503149685,0.2670224100251614,0.020330806321076866,0.5307312962448328,0.06029544245365195,0.3064061441687902,0.282977037776663,13,13,5,3.980008016436676,4.265364817568215,4.176374607167389,-0.004250434850165297,-0.020366266072486736,-1.6933547527658148,1.690348679183851,0.9751579760271049,-0.2526440540332462,-1.2105622618525034,-2.228412439010708,0.3776981327060703,0.017447252761570064,A1,Ínsula posterior,LGI,rh,LGI,DS,C,B_con_ansiedad,False,0.20764590207645903,False,14
2_supramarginal_thickness_lh,31,"Q('2_supramarginal_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",2.6293963139221592,2,23,0.09367068282906259,0.15468906816199998,0.098990100989901,0.18609403087740758,0.003418993672110889,0.4830540035064641,0.1717998436294844,0.1834228200715765,0.8741926936275405,13,13,5,2.692923076923077,2.6366153846153844,2.714,0.05925538781118456,0.6198345558114241,-1.1233043141112264,1.8791946372310318,0.34798222485824887,0.10339275723619779,1.0815287203895516,-1.106191512379032,2.3855147091819484,0.03162794341538099,A1,Giro supramarginal,thickness,lh,thickness,DKT,C,B_con_ansiedad,False,0.39371062893710634,False,14
2_supramarginal_thickness_rh,31,"Q('2_supramarginal_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",0.6895733404515032,2,23,0.5118672692109336,0.5683724118874537,0.514048595140486,0.05657075282226091,0.000167804157085318,0.2288465081284631,0.4103758932468996,0.9651187283248842,0.6328895467165558,13,13,5,2.672846153846154,2.662384615384615,2.7306,0.000150330709083768,0.001760991131561216,-1.3304660781517896,1.7351297682417361,0.9978516401989381,0.041736296582276414,0.4889037548851244,-0.8708725712058507,1.8888874791111272,0.31166003636330375,A1,Giro supramarginal,thickness,rh,thickness,DKT,C,B_con_ansiedad,False,0.7570697475706974,False,14
2_supramarginal_area_lh,31,"Q('2_supramarginal_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",3.399373527349875,2,22,0.05170588336846858,0.30119014808794253,0.0496950304969503,0.23607787664464533,0.0069915781287280465,0.5892199303782523,0.4482988086268219,0.6572389464939954,0.7392268002980392,13,13,5,3609.4615384615386,3770.0,3321.4,486.4200985764602,1.0781903080173407,-0.8307732754911664,2.7399891831345693,0.10982325991760604,-207.83627934039862,-0.4606862724114561,-2.2969803164507527,0.8185742285401676,0.34140880990117217,A1,Giro supramarginal,area,lh,area,DKT,C,B_con_ansiedad,True,0.22117788221177884,False,14
2_supramarginal_area_rh,31,"Q('2_supramarginal_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",3.170556290813076,2,22,0.06166853638252463,0.15120724538204638,0.06319368063193681,0.2237425423353762,0.0035472145788687267,0.46518853338171906,0.3238998373691035,0.11037907772330896,0.72177317635447,13,13,5,3223.076923076923,3579.4615384615386,3248.6,82.30139053134957,0.23891026890288103,-1.5479323802029972,2.2515554274812586,0.7154837413080172,-329.0196764492642,-0.9551014735879899,-1.8822807751432826,0.8424709525668913,0.05616741984071079,A1,Giro supramarginal,area,rh,area,DKT,C,B_con_ansiedad,True,0.22117788221177884,False,14
2_supramarginal_volume_lh,31,"Q('2_supramarginal_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",4.677338720747353,2,22,0.020291949741473955,0.14557576632925492,0.021897810218978103,0.29835030065130724,0.03294659938529509,0.5689116019233901,0.44456012217593543,0.37045861344645836,0.5721675111660729,13,13,5,10206.461538461539,10305.538461538461,9237.2,1925.9227153972734,1.749905740139005,-0.37547876429469795,3.183487064544255,0.012948274078633509,14.962169948786823,0.013594723645448338,-1.8528343434660537,1.4377478618610073,0.9773657081753013,A1,Giro supramarginal,volume,lh,volume,DKT,C,B_con_ansiedad,True,0.35036496350364965,False,16
2_supramarginal_volume_rh,31,"Q('2_supramarginal_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",2.1306447955737564,2,22,0.1426175436275974,0.2744292568316051,0.14088591140885912,0.16226505466753474,0.0018701537228456861,0.40516606868734006,0.3958923677725272,0.530929390636372,0.5016589237470157,13,13,5,8995.0,9977.538461538461,9157.4,359.8274001508553,0.32747490215568503,-1.8502894189609087,2.2950296759991633,0.6178141812580094,-791.3369865958575,-0.72018696227416,-1.5960841872563483,1.0881831247545606,0.1427063715168829,A1,Giro supramarginal,volume,rh,volume,DKT,C,B_con_ansiedad,True,0.6575342465753424,False,16
2_supramarginal_LGI_lh,31,"Q('2_supramarginal_LGI_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",2.5819941343019184,2,23,0.09736151757480653,0.0968064632194445,0.0968903109689031,0.18335429696086253,0.0020340202712346763,0.4004898627608063,0.06341438718156339,0.6207348106571331,0.8249518189523279,13,13,5,3.2691538461538463,3.4123076923076923,3.313,-0.022685465868961585,-0.17095234974581594,-2.229935886357189,1.7551149582594716,0.7939455739389388,-0.1324106537512474,-0.9978156287778067,-2.014493944905443,0.2949817055844428,0.04581950687448581,A1,Giro supramarginal,LGI,lh,LGI,DKT,C,B_con_ansiedad,False,0.2105039496050395,False,14
2_supramarginal_LGI_rh,31,"Q('2_supramarginal_LGI_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",2.384920979132966,2,23,0.11449220531112812,0.12916153682905496,0.11858814118588142,0.17176338149256723,0.011891641122523985,0.3962054746373146,0.11417830764261043,0.5711344411172657,0.5531700649525959,13,13,5,3.2385384615384614,3.3626153846153843,3.2918,0.00856788601778058,0.07896611057861143,-1.4062874257557607,1.5809912271449953,0.9039124170004117,-0.09539903451379185,-0.8792473070808048,-1.8793589899238134,0.2388227096330551,0.07565748000036875,A1,Giro supramarginal,LGI,rh,LGI,DKT,C,B_con_ansiedad,False,0.2105039496050395,False,14
3_superiortemporal_thickness_lh,31,"Q('3_superiortemporal_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",0.8774891262957808,2,23,0.4292900267911741,0.41785742906932205,0.43875612438756123,0.07089395250863674,0.0006056450248912308,0.263558029405551,0.2297806279110236,0.6005265237196669,0.5231496062112414,13,13,5,2.9047692307692308,2.8787692307692305,3.0088,-0.029940066508241214,-0.2327245546742346,-1.6070136989381774,1.109875473199033,0.7223341079442019,0.05780416094345625,0.4493125494621316,-0.6890204267327068,1.5664922620492963,0.35162980562975066,A1,Temporal superior,thickness,lh,thickness,DKT,C,B_con_ansiedad,False,0.7570697475706974,False,14
3_superiortemporal_thickness_rh,31,"Q('3_superiortemporal_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",0.35043684210629045,2,23,0.7080762437173348,0.7086867029576521,0.7092290770922908,0.029571639153515288,5.091613339059743e-05,0.1093819775894023,0.3908216613035074,0.7184089101312597,0.8619163877009633,13,13,5,2.9579230769230773,2.9523076923076923,3.041,0.008997429568308346,0.0865209957561126,-1.552487177422169,2.1026559531303053,0.8947740086621362,0.03885817104283454,0.3736675709837761,-0.7389228659380328,1.3897469288718676,0.43721896459539,A1,Temporal superior,thickness,rh,thickness,DKT,C,B_con_ansiedad,False,0.8274339232743393,False,14
3_superiortemporal_area_lh,31,"Q('3_superiortemporal_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",2.419443996292893,2,22,0.11226381392495069,0.2298707483238186,0.10978902109789021,0.1802939076284578,0.003052013191886439,0.4052528115907803,0.3121510761077444,0.381744892523577,0.8947220475353861,13,13,5,5092.0,5180.307692307692,5720.4,-409.2423658383851,-1.4187016105928583,-2.7206503310529824,0.643627137474464,0.03920475304693266,-163.74351569035184,-0.5676420840695132,-1.7552006974603092,0.9402764755215988,0.24359104301080128,A1,Temporal superior,area,lh,area,DKT,C,B_con_ansiedad,True,0.25617438256174385,False,14
3_superiortemporal_area_rh,31,"Q('3_superiortemporal_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.862325588324362,2,22,0.17898022497591293,0.3596301359891789,0.1770822917708229,0.14478918104941052,0.00015856930918699367,0.4140665693725902,0.35538507827052157,0.13148070443439863,0.6553364747204469,13,13,5,4676.2307692307695,4924.846153846154,5119.2,-131.48896989592993,-0.44352339580658784,-2.0708594140657963,2.5828883093265285,0.5002128613677007,-268.6923866993261,-0.9063221034477872,-2.2896993626979083,0.9763591257935329,0.068840538173734,A1,Temporal superior,area,rh,area,DKT,C,B_con_ansiedad,True,0.3098940105989401,False,14
3_superiortemporal_volume_lh,31,"Q('3_superiortemporal_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",2.2473743079958113,2,22,0.12938730088415962,0.41495298157160687,0.12538746125387462,0.16964677344697263,0.003960008180441558,0.40541726821273383,0.1911584515745494,0.08278724641757595,0.348255393485637,13,13,5,16159.153846153846,16132.384615384615,18868.4,-1469.918545686982,-1.1703173060262593,-2.418695480522299,0.8964820139596863,0.08418443710439373,67.4617638856621,0.053711595109883284,-0.8920696991286272,1.1542818387491989,0.9107608904447578,A1,Temporal superior,volume,lh,volume,DKT,C,B_con_ansiedad,True,0.6575342465753424,False,16
3_superiortemporal_volume_rh,31,"Q('3_superiortemporal_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.7430267445130964,2,22,0.48723557120697264,0.6098426109806336,0.49375062493750627,0.06327386973382088,0.00024081735962542118,0.23218544044106793,0.3432836538484498,0.032779181668020886,0.8090080616719697,13,13,5,15077.076923076924,15894.307692307691,17129.6,-505.90001030628946,-0.4243788006914903,-1.8948670202661375,1.3039943273418857,0.5187068026493601,-686.6340411922597,-0.5759891776612203,-1.9102749659209546,0.6399011333440573,0.23694205822658465,A1,Temporal superior,volume,rh,volume,DKT,C,B_con_ansiedad,True,0.7405804874058048,False,16
3_superiortemporal_LGI_lh,31,"Q('3_superiortemporal_LGI_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",1.86591899837402,2,23,0.17743474980004756,0.30282573852910905,0.1733826617338266,0.1396027462534384,0.0006326613129195662,0.384643812775734,0.054864951335067455,0.7055951302821879,0.4487672316780187,13,13,5,3.4326923076923075,3.6073076923076925,3.5676,0.014993741232912527,0.1028161163972991,-2.2457790560097974,2.3303659884961196,0.875115674719124,-0.11153116787037781,-0.7647992158565465,-2.0016145525793965,0.39521679214293637,0.11923643521759895,A1,Temporal superior,LGI,lh,LGI,DKT,C,B_con_ansiedad,False,0.22066884220668842,False,14
3_superiortemporal_LGI_rh,31,"Q('3_superiortemporal_LGI_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",3.6106492220262725,2,23,0.04327820483227881,0.16612995678424208,0.044495550444955505,0.23894732575508096,0.006087377785973079,0.5408128176655714,0.04854251449051045,0.7969252810999595,0.34100503018178846,13,13,5,3.3806153846153846,3.5778461538461537,3.4652000000000003,0.10437024481920287,0.693143912854784,-1.4627046964287709,2.7024084332104814,0.2951026093467941,-0.11804985578382357,-0.7839929770375273,-1.8257745892013366,0.2852953932488594,0.11071479859470325,A1,Temporal superior,LGI,rh,LGI,DKT,C,B_con_ansiedad,False,0.20764590207645903,False,14
4_Hippocampus_volume_lh,31,"Q('4_Hippocampus_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.5250111837197984,2,22,0.2397508696456669,0.15502548879355743,0.23817618238176183,0.12175727121920905,0.002207494034087902,0.3371313414825519,0.1981124271520853,0.7373838944341856,0.9292256462605654,13,13,5,4001.492307692308,4254.2,4412.2,-199.86445880365937,-0.531035756669264,-2.1218658260902847,1.35734288697189,0.4206156331668571,-311.3887802883693,-0.8273535852674861,-1.8496238003888446,0.266995375547711,0.09469153381392938,A1,Hipocampo,volume,lh,volume,aseg,S,B_con_ansiedad,True,0.6575342465753424,False,16
4_Hippocampus_volume_rh,31,"Q('4_Hippocampus_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.9344060983266304,2,22,0.4078595237156271,0.4615513628489589,0.39606039396060394,0.07829514855017772,0.0005965640144988889,0.2511241246209294,0.6776367371128851,0.5362129398759777,0.7079076110032434,13,13,5,4210.7692307692305,4317.723076923077,4366.14,171.4428161273912,0.40775994761099765,-2.0110382600681396,2.0996775768495652,0.5350625052304387,-152.93210373000693,-0.3637340310523759,-1.4296422141090706,0.7818902260151306,0.45078120456491816,A1,Hipocampo,volume,rh,volume,aseg,S,B_con_ansiedad,True,0.7041073670410737,False,16
5_parahippocampal_thickness_lh,31,"Q('5_parahippocampal_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",1.3095639410802467,2,23,0.2893211524545664,0.41165499465582117,0.286971302869713,0.10223329592668473,0.00035828361023521266,0.2942192648818236,0.0351287089896098,0.2378730920184121,0.2728002086756645,13,13,5,2.663923076923077,2.7993076923076923,2.84,-0.15572513152753503,-0.8685745917759106,-2.283647684882981,1.126863460185461,0.19251332894762474,-0.12144181060969687,-0.6773554791070695,-1.782832295461756,1.2995675442894994,0.16524108116545483,A1,Corteza parahipocampal,thickness,lh,thickness,DKT,C,B_con_ansiedad,False,0.6433356664333567,False,14
5_parahippocampal_thickness_rh,31,"Q('5_parahippocampal_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",0.5262832040434795,2,23,0.5977419784722854,0.8159809554823649,0.5914408559144085,0.04376108520931325,0.00010702454121189345,0.16287268994983875,0.42005315957179634,0.983661236480522,0.3584027613226794,13,13,5,2.632,2.718923076923077,2.7603999999999997,-0.11889622567989766,-0.6310212114797091,-3.0154355170071576,1.8270879636800608,0.3395201568476477,-0.06620947090552956,-0.35139534752533097,-1.4835900096484673,1.295309769125131,0.4646864448214446,A1,Corteza parahipocampal,thickness,rh,thickness,DKT,C,B_con_ansiedad,False,0.7570697475706974,False,14
