variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,roi,medida,hemi,familia_fdr,atlas,tipo,modelo,ajusta_etiv,p_fdr,sobrevive_fdr,n_familia
5_parahippocampal_area_rh,46,"Q('5_parahippocampal_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.39435623693475697,2,39,0.6767714975147221,0.6662051561262818,0.6791320867913209,0.019822518117103838,2.6684164200487057e-05,0.08825231037673018,0.7295362807694117,0.6237578502197888,0.38608347948544725,19,17,10,672.9411764705883,669.2631578947369,684.8,19.567385011362262,0.35158213279275463,-0.38501620510856444,1.2399545540632024,0.40511799760682876,11.603983559209404,0.2084976243003292,-0.5391683584893643,0.9789226697814528,0.541689146024627,A1,Corteza parahipocampal,area,rh,area,DKT,C,A_sin_ansiedad,True,0.9570842915708428,False,14
5_parahippocampal_volume_lh,46,"Q('5_parahippocampal_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.0354830035791962,2,39,0.3646103062656049,0.3240095979793322,0.35866413358664134,0.050424088072275615,0.00012826994745743656,0.14858171763448058,0.16811708094232672,0.3960865341579324,0.5345305016086577,19,17,10,2100.0588235294117,2252.1052631578946,2260.3,-79.83517538038234,-0.31353835275072145,-1.2046287636669015,0.5401539858457464,0.45741450924278293,-123.37492011592738,-0.48453290218994277,-1.0509348860535674,0.27085145883869816,0.16046036235546746,A1,Corteza parahipocampal,volume,lh,volume,DKT,C,A_sin_ansiedad,True,0.7257274272572742,False,16
5_parahippocampal_volume_rh,46,"Q('5_parahippocampal_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.22357940266305346,2,39,0.8006692173753469,0.8036339143195463,0.8046195380461953,0.011335640357087822,4.315290046749829e-05,0.04072105218403491,0.7918982278341219,0.05684256390843218,0.5134841833902829,19,17,10,1933.6470588235295,1971.578947368421,1978.9,18.043799877815218,0.10815721890694496,-0.7464364446325761,0.9810965566322158,0.7970622884937043,-25.252533920436264,-0.15136744242800718,-0.9046705766934554,0.6788875543491449,0.6573686347528217,A1,Corteza parahipocampal,volume,rh,volume,DKT,C,A_sin_ansiedad,True,0.8953771289537713,False,16
5_parahippocampal_LGI_lh,45,"Q('5_parahippocampal_LGI_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",2.88284215093027,2,39,0.06797166340023167,0.08339122167361579,0.06469353064693531,0.12879696561727547,0.0018681726323173744,0.3115092840277111,0.10565597885839702,0.4298434816314987,0.282897944943582,18,17,10,2.6155882352941178,2.6970555555555555,2.6574999999999998,-0.013229655151498876,-0.12812087324933452,-1.1461080095904743,0.8437731002095753,0.7588733606874318,-0.08086392192646813,-0.7831161260776561,-1.4697150119951543,0.0708358470875576,0.027413714727685282,A1,Corteza parahipocampal,LGI,lh,LGI,DKT,C,A_sin_ansiedad,False,0.1411858814118588,False,14
5_parahippocampal_LGI_rh,45,"Q('5_parahippocampal_LGI_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",1.8258961483318887,2,39,0.17457528796630753,0.28655279590858984,0.17578242175782421,0.08561873018755699,0.0009474738978336608,0.2591171345907967,0.5937758222313531,0.7674848983415559,0.9751329122594444,18,17,10,2.6827647058823527,2.733888888888889,2.6797,0.03995544120896086,0.31485689881067624,-0.663409608779604,1.2301649168107613,0.4520198577918198,-0.05523832877207034,-0.4352891212413406,-1.1391353624284066,0.3020936781490587,0.2102877210140986,A1,Corteza parahipocampal,LGI,rh,LGI,DKT,C,A_sin_ansiedad,False,0.24408468244084683,False,14
6_entorhinal_thickness_lh,46,"Q('6_entorhinal_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.09435791442942128,2,40,0.9101589479464236,0.9112145270244348,0.9131086891310869,0.004695741701787069,5.534693230245813e-06,0.013454045651507783,0.8174265060200572,0.5277267163995273,0.13437364878236946,19,17,10,2.799,2.805,2.8431,-0.006564886076182219,-0.041281549538185455,-0.8888024648666247,0.8101398350159545,0.9211519121203564,-0.022844944161519165,-0.14365438838647374,-0.8375925826343328,0.5377194572026471,0.6728499851609837,A1,Corteza entorrinal,thickness,lh,thickness,DKT,C,A_sin_ansiedad,False,0.9412058794120588,False,14
6_entorhinal_thickness_rh,46,"Q('6_entorhinal_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.2735411566673246,2,40,0.7620924380570919,0.7750534954658665,0.7678232176782321,0.013492519858937697,1.009703112441948e-05,0.0483730103271476,0.5572698911428617,0.5731786021740387,0.6228947044255438,19,17,10,2.818588235294118,2.8252105263157894,2.8920000000000003,-0.05158783636953146,-0.2990106031311389,-1.1762292704447097,0.513526204025828,0.47480347376419074,-0.009142997963527688,-0.052994146060288023,-0.8785566871853708,0.6172629446008213,0.8760992380529773,A1,Corteza entorrinal,thickness,rh,thickness,DKT,C,A_sin_ansiedad,False,0.9412058794120588,False,14
6_entorhinal_area_lh,46,"Q('6_entorhinal_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.47089185578360676,2,39,0.6279491152471839,0.6649255063554727,0.6251374862513749,0.02357890970438737,5.92967414287967e-05,0.09014849384820423,0.2603674190214932,0.8767135452588333,0.7400307937303959,19,17,10,413.7647058823529,435.2105263157895,462.2,-20.951076669122017,-0.3377900721258254,-1.2453512363498862,0.5660019090967927,0.4236343264220875,-17.443310359712633,-0.28123504856456655,-0.9504216810260544,0.5144490298441343,0.4113367182987646,A1,Corteza entorrinal,area,lh,area,DKT,C,A_sin_ansiedad,True,0.9570842915708428,False,14
6_entorhinal_area_rh,46,"Q('6_entorhinal_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.050501236381864475,2,39,0.9508148218087537,0.9374939684609835,0.9515048495150485,0.0025831172189020838,1.7550750891046583e-05,0.004282179969598031,0.5464391609284971,0.8350600249714311,0.06853166447888048,19,17,10,391.3529411764706,384.2631578947368,413.8,2.7557750016253806,0.042773679163263766,-0.8802771476312348,1.0416204288902848,0.9189678166321361,6.8897496923029,0.10693904352856921,-0.5381387111558154,0.7649880768017207,0.7538541851303525,A1,Corteza entorrinal,area,rh,area,DKT,C,A_sin_ansiedad,True,0.9806019398060194,False,14
6_entorhinal_volume_lh,46,"Q('6_entorhinal_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.189375917963466,2,39,0.828231761659946,0.834923227762771,0.8233176682331766,0.009618177780367847,8.300740434758006e-06,0.0321666246024606,0.3028032870818052,0.6779802009098252,0.7582461097159378,19,17,10,1397.9411764705883,1442.5263157894738,1563.4,-42.28688269064594,-0.19347922028138814,-1.060415503745472,0.7333004762264557,0.6458197959185096,-41.76060005333696,-0.1910712689774558,-0.857564624575429,0.5468746847302453,0.5758407642239556,A1,Corteza entorrinal,volume,lh,volume,DKT,C,A_sin_ansiedad,True,0.8953771289537713,False,16
