hallazgo,contraste,estadistico,observado,loo_min,loo_max,loo_rango,p_max_loo,veces_p_mayor_005,n_loo
Índice de red · LGI,MPPP vs Vestibular,d de Cohen,-0.9146100402122772,-1.2257719281178903,-0.8379357665312568,0.3878361615866335,0.030969030969030968,0.0,36
Ínsula posterior rh · LGI,MPPP vs Vestibular,d de Cohen,-1.037009490882294,-1.2819800301637507,-0.9096877365133978,0.3722922936503529,0.016983016983016984,0.0,36
Temporal superior rh · LGI,MPPP vs Vestibular,d de Cohen,-1.0351720093413375,-1.2102182930077434,-0.9178106768766344,0.292407616131109,0.017982017982017984,0.0,36
Supramarginal rh · grosor,Niigata,rho parcial,-0.7023917506460544,-0.7349615061041611,-0.6327887766724148,0.10217272943174627,,,31
Supramarginal rh · grosor,DHI,rho parcial,-0.6859397670606132,-0.7474588725538331,-0.6372433093922684,0.11021556316156478,,,30
Temporal superior rh · grosor,DHI,rho parcial,-0.6517664139998989,-0.68990389522045,-0.6195143178301257,0.07038957739032436,,,30
Postcentral lh · grosor,DHI,rho parcial,-0.6757528479670986,-0.7205580640971919,-0.6319555138104418,0.08860255028675013,,,30
