variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,roi_n,roi,tipo,atlas,medida,hemi,familia_fdr,compuesta,ajusta_etiv,n_esperado,modelo,p_fdr,sobrevive_fdr,n_familia
11_lateraloccipital_thickness_lh,31,"Q('11_lateraloccipital_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",0.9244584520272974,2,23,0.4109928634079474,0.44505361728789733,0.4082591740825917,0.07440633775683426,0.0004229331458931974,0.2599939440544741,0.5445986006080701,0.36641277593292165,0.8089927753852211,13,13,5,2.1462307692307694,2.1357692307692306,2.2241999999999997,0.009221815575674086,0.0782776805066866,-1.327307142708563,1.6910329029499052,0.904745838787328,0.06954400118798691,0.5903114263648622,-0.6479792804119057,1.729707864636953,0.22420350852316034,A2,11,Occipital lateral,C,DKT,thickness,lh,thickness,False,False,46,B_con_ansiedad,0.4322744196168618,False,18
11_lateraloccipital_thickness_rh,31,"Q('11_lateraloccipital_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",4.8593541313896536,2,23,0.017366583812009485,0.07881385307453939,0.019498050194980503,0.29703826277993,0.0075903794175748475,0.5810100888698467,0.2140061115057879,0.012676274503123752,0.6201402200945801,13,13,5,2.2046153846153844,2.159923076923077,2.2880000000000003,0.04983560563343886,0.5501481775785654,-1.2779593840163936,2.443900400768499,0.40388412825077974,0.1302721077231202,1.4381075887859673,-0.6350099269654159,2.633543271423778,0.005776043633327448,A2,11,Occipital lateral,C,DKT,thickness,rh,thickness,False,False,46,B_con_ansiedad,0.20877912208779123,False,18
11_lateraloccipital_area_lh,31,"Q('11_lateraloccipital_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.45440850823536066,2,22,0.6406490587854614,0.6868847002054639,0.6384361563843616,0.03967105834479844,6.062984205789619e-05,0.13480582004453034,0.19438720134876278,0.13920708573857882,0.19081173815694535,13,13,5,4904.307692307692,5069.923076923077,5332.6,-170.92882718054295,-0.4039701278067603,-1.941040051330355,1.3294431960025115,0.5388309224911776,-186.5433566402115,-0.44087322698266546,-1.6691228355512318,1.1805213197523643,0.36215738015278826,A2,11,Occipital lateral,C,DKT,area,lh,area,False,True,46,B_con_ansiedad,0.9513048695130487,False,18
11_lateraloccipital_area_rh,31,"Q('11_lateraloccipital_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.1114487159275333,2,22,0.8950390610044886,0.9318920254361779,0.8938106189381062,0.010030079675189327,0.00014197985823693403,0.022557607153764377,0.5137250917706082,0.9015951715189192,0.03752360095385569,13,13,5,4951.538461538462,4850.538461538462,5202.2,-135.48188355688876,-0.22861067891381118,-1.946628486773584,1.7154906516886939,0.7272150382453046,30.203359404817434,0.05096482509496432,-1.5921969723419132,1.6455109975727555,0.9153056456765305,A2,11,Occipital lateral,C,DKT,area,rh,area,False,True,46,B_con_ansiedad,0.9513048695130487,False,18
11_lateraloccipital_volume_lh,31,"Q('11_lateraloccipital_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.47498619022464955,2,22,0.6281243789360081,0.7926776617041332,0.6282371762823717,0.04139318186101892,1.367973180045269e-05,0.1520283661383247,0.17505065308424375,0.9255060549148045,0.8034187993589127,13,13,5,11009.615384615385,11297.846153846154,12688.2,-547.2282411693748,-0.5015410024060956,-2.18727735955938,1.8070828432510144,0.44651695734752106,78.27821847191012,0.0717428911838885,-1.1774631521081893,1.4263790404884837,0.8810113274881296,A2,11,Occipital lateral,C,DKT,volume,lh,volume,False,True,46,B_con_ansiedad,0.9423557644235576,False,24
11_lateraloccipital_volume_rh,31,"Q('11_lateraloccipital_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.299688109963909,2,22,0.2927416042580239,0.5096867951710847,0.29047095290470953,0.10566837942102279,0.0006788141442571429,0.35941346172119304,0.20198420921816854,0.5563339509385016,0.2514498619352041,13,13,5,11440.923076923076,10898.153846153846,12603.6,-207.91753138098647,-0.1498600766719932,-1.9465033211286105,2.028402982846971,0.8189837432060484,850.3165357762323,0.6128800221920239,-1.13925393662556,1.8556230967560357,0.2091932511752886,A2,11,Occipital lateral,C,DKT,volume,rh,volume,False,True,46,B_con_ansiedad,0.7616838316168382,False,24
11_lateraloccipital_LGI_lh,31,"Q('11_lateraloccipital_LGI_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",0.8719653988211107,2,23,0.4314993558636896,0.6742687124808947,0.42845715428457154,0.07047913332381271,0.00023454623122404382,0.2878868057379421,0.4475183206879494,0.8340055555791166,0.9909059623421583,13,13,5,2.451076923076923,2.414461538461538,2.4956,-0.04662342735111402,-0.556556647011549,-2.63685342139599,1.2801637289830319,0.3985148204815915,0.01870838798448457,0.22332716145517548,-0.8747343461199755,1.4617571596405976,0.6409883969574197,A2,11,Occipital lateral,C,DKT,LGI,lh,LGI,False,False,45,B_con_ansiedad,0.701111707011117,False,18
11_lateraloccipital_LGI_rh,31,"Q('11_lateraloccipital_LGI_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",0.33989743025061836,2,23,0.7153586832135496,0.7856648690641773,0.7173282671732827,0.028707801925900944,7.827688211508598e-05,0.11346220547921555,0.8568056330084902,0.7102094835548463,0.7109022323660659,13,13,5,2.4256153846153845,2.452769230769231,2.455,-0.051842282118306326,-0.5204011160106117,-2.2747357953852694,0.7487778666704009,0.4294073073908586,-0.010506467302481018,-0.10546559846773093,-1.4625552881383428,1.2577420939331174,0.8253812396796864,A2,11,Occipital lateral,C,DKT,LGI,rh,LGI,False,False,45,B_con_ansiedad,0.806994300569943,False,18
12_cuneus_thickness_lh,31,"Q('12_cuneus_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",1.67062092619279,2,23,0.21016156176148099,0.18872817418741075,0.22317768223177684,0.1268445076017926,0.0023639674960186205,0.3556985666354369,0.3486284875244036,0.4071107427716867,0.9352598863484027,13,13,5,1.9376153846153845,1.9373076923076922,2.0268,-0.011642828578663056,-0.09876096565370943,-1.9143597876427239,1.6971890722153862,0.8800006249574045,0.08524295950357275,0.7230783257584994,-0.3774408375920955,1.6190339951894015,0.13965626563645372,A2,12,Cuneus,C,DKT,thickness,lh,thickness,False,False,46,B_con_ansiedad,0.3345265473452655,False,18
12_cuneus_thickness_rh,31,"Q('12_cuneus_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI",2.69394429311324,2,23,0.08888726740195446,0.18386026076283882,0.08949105089491051,0.18979532661828996,0.009397752385032532,0.4639135507985345,0.13959189096456404,0.6119944274795966,0.9930168966753952,13,13,5,1.978076923076923,1.9097692307692309,2.018,0.00039712811238062917,0.0036626184905654384,-1.6831616880167488,1.772011754684382,0.9955317272928468,0.10478392594943749,0.9663973230094836,-0.18325391474660532,1.9997381687742746,0.052478210752369144,A2,12,Cuneus,C,DKT,thickness,rh,thickness,False,False,46,B_con_ansiedad,0.2641235876412359,False,18
