variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,rho_Voluntario Sano,n_Voluntario Sano,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
idxred_LGI,Red DCNN,bilat,LGI,CSE_NI,45,0.22286912492101643,0.16132947292417246,-0.05960397851638542,0.49707872907814626,Edad+Genero+Grupo,0.2102116926899497,17,0.259457954190577,18,,10,idxred_LGI,B,0.9930248998926957,False,8,2,2,True
idxred_LGI,Red DCNN,bilat,LGI,EntropyRatio_NI,45,-0.016498608186151145,0.9184530980338227,-0.28351816786088696,0.269620973232145,Edad+Genero+Grupo,0.2925835429175753,17,0.006658628593616365,18,,10,idxred_LGI,B,0.9930248998926957,False,8,0,2,False
idxred_LGI,Red DCNN,bilat,LGI,Htotal_NI,45,0.07420878768884394,0.6447196510570182,-0.1688382781383508,0.3330482434362437,Edad+Genero+Grupo,-0.0022630768633846304,17,0.16170115998839188,18,,10,idxred_LGI,B,0.9930248998926957,False,8,1,2,False
idxred_LGI,Red DCNN,bilat,LGI,Herror_NI,45,0.05149643453931382,0.7491555403507375,-0.2256747766712996,0.3519174500479454,Edad+Genero+Grupo,-0.38594899206331884,17,0.16158369241941908,18,,10,idxred_LGI,B,0.9930248998926957,False,8,1,2,False
idxred_LGI,Red DCNN,bilat,LGI,Hpath_NI,45,0.11406835599342229,0.47762402816854543,-0.1519709688490857,0.37818123315612223,Edad+Genero+Grupo,0.07903219877534336,17,0.2065541941325314,18,,10,idxred_LGI,B,0.9930248998926957,False,8,2,2,True
idxred_LGI,Red DCNN,bilat,LGI,Entropia_Espacial_NI,45,0.04390434733907832,0.7851895424046648,-0.3255796938799968,0.3797056326910583,Edad+Genero+Grupo,0.2185572979744116,17,0.1904390141149509,18,,10,idxred_LGI,B,0.9930248998926957,False,8,2,2,True
idxred_LGI,Red DCNN,bilat,LGI,CSE_RV,42,0.06683552702566985,0.6901251678867019,-0.3080913220038387,0.40344376181884983,Edad+Genero+Grupo,0.3342810732932847,16,0.04938961265896847,17,,9,idxred_LGI,B,0.9930248998926957,False,8,2,2,True
idxred_LGI,Red DCNN,bilat,LGI,Htotal_RV,42,0.0014671684422332767,0.9930248998926957,-0.42345327942561156,0.386683458976858,Edad+Genero+Grupo,0.6437645593858458,16,-0.254204781284251,17,,9,idxred_LGI,B,0.9930248998926957,False,8,1,2,False
idxred_thickness,Red DCNN,bilat,thickness,CSE_NI,46,0.24265318067006067,0.12153618536518089,-0.07763338556992956,0.5230244991167156,Edad+Genero+Grupo,0.13346228661358664,17,0.4510412031071345,19,,10,idxred_thickness,B,0.16204824715357452,False,8,2,2,True
idxred_thickness,Red DCNN,bilat,thickness,EntropyRatio_NI,46,0.2801303998722541,0.07236230853389378,-0.059854892559654635,0.5404533924841972,Edad+Genero+Grupo,0.29266199669555265,17,0.559031567050416,19,,10,idxred_thickness,B,0.11577969365423005,False,8,2,2,True
idxred_thickness,Red DCNN,bilat,thickness,Htotal_NI,46,0.30885632840220995,0.046572611855596094,-0.024090732303265514,0.5507289792553735,Edad+Genero+Grupo,0.41051726560215024,17,0.5054968531020113,19,,10,idxred_thickness,B,0.11577969365423005,False,8,2,2,True
idxred_thickness,Red DCNN,bilat,thickness,Herror_NI,46,0.36926239642015213,0.0161012063666534,0.03474783236539866,0.63575946480059,Edad+Genero+Grupo,0.42125558683855346,17,0.4668138663256634,19,,10,idxred_thickness,B,0.0784137047741101,False,8,2,2,True
idxred_thickness,Red DCNN,bilat,thickness,Hpath_NI,46,0.2841093772384996,0.06823484661146294,-0.02020924735177346,0.5324776521745198,Edad+Genero+Grupo,0.4147486441339209,17,0.38214589899749457,19,,10,idxred_thickness,B,0.11577969365423005,False,8,2,2,True
idxred_thickness,Red DCNN,bilat,thickness,Entropia_Espacial_NI,46,0.35886367092869864,0.019603426193527524,0.08178802396934058,0.5791205054730603,Edad+Genero+Grupo,0.5307455752231457,17,0.5356175165389656,19,,10,idxred_thickness,B,0.0784137047741101,False,8,2,2,True
