medida,n_MPPP,n_Vest,r_medio_MPPP,r_medio_Vest,dif_z,p_perm,similaridad_estructura,p_fdr,sobrevive_fdr
LGI,17,18,0.438347958692651,0.42990648574036155,0.01040202472525853,0.9525237381309345,0.44731645166427775,0.9525237381309345,False
thickness,17,19,0.2307837983520115,0.2886280244305616,-0.062051757837577576,0.6116941529235382,0.44282529065137766,0.815592203898051,False
volume,17,19,0.12564795181630656,0.26908143135049606,-0.14955778433887118,0.2158920539730135,0.24964928120008328,0.431784107946027,False
area,17,19,-0.01589481837088059,0.21605980396373328,-0.23541540982383286,0.017491254372813594,0.18060200668896323,0.06996501749125437,False
