etapa,roi,hemi,medida,n,eta2p,p_perm,p_fdr,d,d_ic_low,d_ic_high
C1d,Red DCNN (alta),bilat,LGI,35,0.200675844411964,0.0100989901009899,0.0403959604039596,-0.9403252699970052,-1.7311117746641038,-0.0266157974050143
AD,Ínsula posterior,rh,LGI,35,0.2339151220583235,0.0046995300469953,0.0433956604339566,-1.037009490882294,-1.7302110138040974,-0.1625682039451202
AD,Temporal superior,rh,LGI,35,0.2332801123837048,0.0061993800619938,0.0433956604339566,-1.0351720093413377,-1.744778450204158,-0.2276523530158221
AD,Ínsula posterior,lh,LGI,35,0.1819784594889568,0.0165983401659834,0.0464753524647535,-0.8851556560168242,-1.6325057283821485,-0.0150159690290971
AD,Giro supramarginal,lh,LGI,35,0.1793846934163286,0.0156984301569843,0.0464753524647535,-0.8774349136109699,-1.552139980341756,-0.0717635264996601
AD,Temporal superior,lh,LGI,35,0.2000447940416308,0.0108989101089891,0.0464753524647535,-0.9384752398599552,-1.697345233971264,-0.1320822675556091
AD,Corteza parahipocampal,lh,LGI,35,0.1703020370786418,0.01999800019998,0.04666200046662,-0.850240789690656,-1.6649198261206606,0.1348945010652173
C1d,Red DCNN (alta),bilat,LGI,35,0.1919278560178079,0.0116988301169883,0.0467953204679532,-0.9146100402122772,-1.64325866735104,-0.0071765558199498
