par,n_rois,r_pearson,mismo_signo,d_medio_a,d_medio_b
DKT vs DK,16,0.9973391862606322,16/16,-0.644304522447255,-0.6508315173151914
DKT vs DS,16,0.9467298673159503,16/16,-0.644304522447255,-0.6026944714569957
DK vs DS,16,0.9542774321121481,16/16,-0.6508315173151914,-0.6026944714569957
