variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,familia_fdr,roi,hemi,medida,atlas,tipo,ajusta_etiv,n_esperado,bloque,modelo,p_fdr,sobrevive_fdr,n_familia
hipp_lh_Hippocampal_tail,46,"Q('hipp_lh_Hippocampal_tail') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",3.1637417161387766,2,39,0.05329770199959107,0.060366178441737854,0.052394760523947606,0.13959485400797197,0.010806106974874021,0.3147985334053882,0.03531616831971902,0.6336157933894091,0.14197335163412206,19,17,10,566.4689600588235,594.6161217894736,656.0693715,-66.56758505555638,-1.0452160246214937,-1.8597355802090707,-0.11411738782277032,0.016647960805277983,-17.997859931246353,-0.2825947733169506,-0.9940417379467904,0.45148584492014465,0.4090986723647082,A3,hipocampo_posterior,Hippocampal tail,lh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.4367563243675633,False,18
hipp_rh_Hippocampal_tail,46,"Q('hipp_rh_Hippocampal_tail') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.8470685717360621,2,39,0.43640414994645915,0.28537475047289723,0.4380561943805619,0.04163098820597271,0.00010578593079213006,0.13752856320453663,0.10265299149912491,0.003988724339721868,0.20637054006135902,19,17,10,602.8259510588235,607.2621859473684,675.8025955,-43.1777065411444,-0.46203991087283613,-1.375563314887646,0.5364408328591956,0.2754735388319193,4.689479712553677,0.050181609029270276,-0.8085955421812954,0.9207581941265797,0.8829637829829194,A3,hipocampo_posterior,Hippocampal tail,rh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_lh_Whole_hippocampal_body,46,"Q('hipp_lh_Whole_hippocampal_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.8927770618217129,2,39,0.41772039312278,0.45404506504822745,0.41415858414158585,0.043779082128697584,0.00019402562004361166,0.17439992138069474,0.21013419350578608,0.15587698654909987,0.7759681518674181,19,17,10,1230.5786401764706,1270.8727074736842,1371.5890341,-64.01639642346231,-0.5558108417319345,-1.4582560863495722,0.3236802379292702,0.19106688312837353,-26.507756215496244,-0.23014882307808354,-0.9290475940695894,0.5927560613933829,0.5007698466046373,A3,hipocampo_posterior,Whole hippocampal body,lh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_rh_Whole_hippocampal_body,46,"Q('hipp_rh_Whole_hippocampal_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.33902668000798936,2,39,0.7145421836066439,0.7311852378649768,0.7175282471752825,0.017088876660951838,1.8925312292228584e-06,0.06918341651756782,0.20031819594553424,0.013592706150037886,0.22572321052852312,19,17,10,1243.173604764706,1298.7120944736841,1356.7633572999998,-35.34612635717201,-0.23448195111735565,-1.0434146394107733,0.5693966305970086,0.5777898065536379,-40.045745263486296,-0.2656586577110327,-1.0649438355126537,0.5901764310495383,0.4375095626727726,A3,hipocampo_posterior,Whole hippocampal body,rh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_lh_CA1_body,46,"Q('hipp_lh_CA1_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.2837785895396256,2,39,0.7544747046325814,0.8051318481243169,0.7456254374562544,0.014344003510515896,3.191418197556745e-05,0.061791132461932304,0.493462024650724,0.16046925212913593,0.20007333649617662,19,17,10,132.47032564705881,138.807423,144.92442020000001,-6.377606210801616,-0.2988312856576827,-1.3455455918233334,0.6556823124597864,0.4786439830589908,-3.7514655795411773,-0.17577994708047764,-0.8986031263979548,0.5811832661182761,0.6066534298304243,A3,hipocampo_posterior,CA1 body,lh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_rh_CA1_body,46,"Q('hipp_rh_CA1_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.3547955019176603,2,39,0.7035569607833017,0.7714915740423518,0.7041295870412959,0.01786951177026188,2.3946069268434315e-05,0.0752738120044904,0.6644104475866719,0.09873848198161533,0.615019376608811,19,17,10,137.64791823529413,145.06240057894738,146.9206945,-1.4855507051874781,-0.07039303966714297,-0.8330356195585873,0.7165426599214527,0.8670510708987756,-5.848095440618556,-0.2771128665559398,-1.021235355708169,0.6012872926486129,0.4181676418268626,A3,hipocampo_posterior,CA1 body,rh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_lh_CA3_body,46,"Q('hipp_lh_CA3_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.07966867208729138,2,39,0.9235721387140629,0.9270809691248768,0.9166083391660834,0.004068948939920865,5.4176033669205185e-05,0.01032507671916441,0.8368504174458603,0.004744298714261909,0.7664400541863765,19,17,10,92.00507858823529,97.12547163157895,99.6416317,-1.81157386779158,-0.07850872471212873,-0.9764273424755988,0.7812789331375507,0.8518978303750548,-3.1154920587449775,-0.13501702179056432,-0.8346027201789925,0.6002070536899602,0.6922963313789058,A3,hipocampo_posterior,CA3 body,lh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.9166083391660834,False,18
hipp_rh_CA3_body,46,"Q('hipp_rh_CA3_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.30779668627036966,2,39,0.7368339261724683,0.6536269024187492,0.7382261773822618,0.01553916829546805,8.578138189405248e-05,0.058912853416796196,0.9762278662853073,0.001810863703551944,0.550142696602149,19,17,10,105.31000688235294,108.2266092105263,105.3083197,6.323835174338406,0.26105875464677203,-0.5059188458458773,0.9523368570457845,0.5356479454037871,-1.3301234615274726,-0.05490977623861672,-0.8426654940381422,0.7197801398087652,0.8720309644785553,A3,hipocampo_posterior,CA3 body,rh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_lh_CA4_body,46,"Q('hipp_lh_CA4_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",2.379556891815772,2,39,0.10590677312678667,0.16904795606946774,0.10278972102789721,0.10875708788718041,0.0039872355392692954,0.3041833724522002,0.1964793022317202,0.6291964674414879,0.558898397990865,19,17,10,126.2885427647059,127.58824968421052,143.4642969,-9.565938083606035,-0.8063781027350766,-1.7836135270210551,0.1505117068085887,0.06085545836586952,0.38073414073764944,0.032094675019970535,-0.6014367988925704,0.7554966782068918,0.9249812694590777,A3,hipocampo_posterior,CA4 body,lh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.4625537446255375,False,18
hipp_rh_CA4_body,46,"Q('hipp_rh_CA4_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.36261266561836086,2,39,0.698177157009011,0.6037578181112374,0.6982301769823017,0.018256040719458497,1.3365850163117383e-05,0.06555884522734685,0.26980740655986646,0.05878087249072312,0.3328373997397812,19,17,10,132.3499150588235,134.85122157894736,146.3602092,-5.960716771519557,-0.3284117840123141,-1.102391684576138,0.39619743471593366,0.4365140748397069,-0.24382776289088248,-0.013433939855242038,-0.7462029628559861,0.8448290628918967,0.9685594849950091,A3,hipocampo_posterior,CA4 body,rh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_lh_GC_ML_DG_body,46,"Q('hipp_lh_GC_ML_DG_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",2.8071967730883753,2,39,0.07261017041467785,0.12281061878741423,0.07279272072792721,0.12584265076618706,0.007771612306866851,0.32659014551946125,0.1351048194329738,0.7087332187731203,0.7325721250667188,19,17,10,140.53596470588235,142.16978815789471,159.6687854,-10.6796629770852,-0.8922733866838207,-1.8447557923317992,0.044841731943536925,0.0390131500018689,0.06264618213182871,0.005234015456622055,-0.674688490469322,0.7107122196656737,0.987747623644997,A3,hipocampo_posterior,GC ML DG body,lh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.4367563243675633,False,18
hipp_rh_GC_ML_DG_body,46,"Q('hipp_rh_GC_ML_DG_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.44376480006219204,2,39,0.6448157205952041,0.5854611546055887,0.6512348765123488,0.022250803923480295,0.00017172755482774564,0.0875503307416617,0.21655228194320836,0.11719127189836126,0.4522613626003737,19,17,10,145.1119802352941,148.67410078947367,161.2416702,-7.148046145894348,-0.38319771686389487,-1.2265931425026577,0.3707582686084091,0.3646084641255447,-1.2485360209117111,-0.06693243760191743,-0.7943782615188789,0.7596565309085931,0.844350287485028,A3,hipocampo_posterior,GC ML DG body,rh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_lh_molecular_layer_HP_body,46,"Q('hipp_lh_molecular_layer_HP_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.5787145037993873,2,39,0.5653596141109816,0.6004544830037891,0.5618438156184381,0.028822288582761625,0.0001155327655589474,0.11998893231375916,0.2711261854910155,0.17136727502951,0.9704338423369477,19,17,10,235.15456823529414,245.04689494736843,260.46923449999997,-11.420974284473516,-0.42311401627163103,-1.3529339883200937,0.40029299746594493,0.3173586278418112,-6.950652410687024,-0.2575015391805911,-0.9411309250759944,0.47515335213419857,0.45160453738879547,A3,hipocampo_posterior,molecular layer HP body,lh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_rh_molecular_layer_HP_body,46,"Q('hipp_rh_molecular_layer_HP_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.4379343451574831,2,39,0.6485026742644215,0.7443854456460114,0.6541345865413458,0.021964880492439196,6.022089902634735e-05,0.09449779448342721,0.2571442343892176,0.0045985716405273006,0.3376349243931271,19,17,10,240.94379464705878,253.5405471052632,258.7955866,-3.9857247458568565,-0.12917581469115322,-0.9323195496154519,0.641071944807298,0.7587916647362852,-9.725872178778296,-0.3152117976991952,-1.120163295465817,0.5491471480918342,0.3576912774379109,A3,hipocampo_posterior,molecular layer HP body,rh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_lh_subiculum_body,46,"Q('hipp_lh_subiculum_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.6030206191613124,2,39,0.5521781515753897,0.5739908863683193,0.5540445955404459,0.02999651796539172,3.583800856838315e-05,0.10975145182663988,0.2026543773069778,0.4639283965496177,0.30241751328963146,19,17,10,253.69171376470587,262.10636710526313,280.8284568,-11.663851112556898,-0.43486600195309444,-1.2732274989830357,0.45899240439683586,0.30427856700079164,-6.910009016723759,-0.25762743073147537,-0.9859651846421618,0.6588880793512236,0.45138499604470844,A3,hipocampo_posterior,subiculum body,lh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_rh_subiculum_body,46,"Q('hipp_rh_subiculum_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.5584975384789029,2,39,0.5765754293510165,0.5488062782449251,0.5724427557244276,0.02784343829379633,0.00010563265666690627,0.10936670940191977,0.21013419350578608,0.29634434925514064,0.4808423830001244,19,17,10,252.66826158823528,262.65073815789475,277.09133,-9.951893784873462,-0.3770149432132268,-1.142229322459935,0.4014396206047983,0.3723169697152314,-7.890157918066691,-0.29890868047092295,-1.0683463735011385,0.6355041413638308,0.38283737299188336,A3,hipocampo_posterior,subiculum body,rh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_lh_presubiculum_body,46,"Q('hipp_lh_presubiculum_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",7.180080961274518,2,39,0.0022132253232898004,0.00869548479473767,0.0030996900309969004,0.26911766016363403,0.07072042435726666,0.4470764077110525,0.002473193413970976,0.13923251690652055,0.8517978323342243,19,17,10,156.65909841176472,166.24797457894738,187.5989416,-22.080474364192447,-1.5784716643826908,-2.3728815587587704,-0.5037477919970968,0.0005275011750096603,-8.868085426979846,-0.6339547481150645,-1.368167275548813,0.1884580290756323,0.0687201745024957,A3,hipocampo_posterior,presubiculum body,lh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.05579442055794421,False,18
hipp_rh_presubiculum_body,46,"Q('hipp_rh_presubiculum_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.3733208830125183,2,39,0.26524041941761345,0.3014894206091265,0.2595740425957404,0.0657931189152646,0.0007868772454178632,0.20471025353968472,0.08882109463876668,0.43824001043452876,0.9101931470617719,19,17,10,147.01298364705883,156.54996715789474,165.408329,-9.42890452569901,-0.5629693125044511,-1.45939537152733,0.30134167048716654,0.18553828097402167,-8.21090784806281,-0.49024668068941285,-1.1702957808674002,0.3178039973572402,0.15570862884724743,A3,hipocampo_posterior,presubiculum body,rh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
thal_lh_AV,46,"Q('thal_lh_AV') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.23237699017245317,2,39,0.7937368456934929,0.7920977023050573,0.8004199580041996,0.011776431713634227,8.82258370784487e-05,0.043155892577139573,0.3239701295970252,0.832738065744559,0.937612858276262,19,17,10,120.40964323529411,122.92248947368422,130.3198338,-5.763797994814212,-0.28274420347297136,-1.094152511214105,0.5271320259955572,0.5024927884175219,-1.4871118748775611,-0.07295055498401562,-0.8396317395100706,0.6419155716432329,0.830566659079322,A3,talamo_anterior,AV,lh,volume,thal,S,True,46,Núcleo talámico,A_sin_ansiedad,0.8329167083291671,False,8
thal_rh_AV,46,"Q('thal_rh_AV') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.412684060076617,2,39,0.6647276741079856,0.5795866551354305,0.6594340565943405,0.020724682761577903,1.7133765927449316e-05,0.0802464984897072,0.28956256304948136,0.1815027742818241,0.500497172060783,19,17,10,129.03166711764706,134.76154721052632,139.0033163,-6.331212258975235,-0.3487612925780352,-1.0503683673051192,0.4234846855611524,0.40886366688710546,-4.182870113315428,-0.2304176716454054,-0.944164000219787,0.5368057034078658,0.5002726444481962,A3,talamo_anterior,AV,rh,volume,thal,S,True,46,Núcleo talámico,A_sin_ansiedad,0.8329167083291671,False,8
thal_lh_LD,46,"Q('thal_lh_LD') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.328365821997882,2,39,0.2766295579312067,0.16399221835262812,0.27517248275172485,0.06377676642278522,0.0001802491203261682,0.1892553878402666,0.2554190009953489,0.8056549211966679,0.5603220915355285,19,17,10,23.16779882352941,21.712672631578947,25.6480014,-1.9494377618843686,-0.3087974992810233,-1.1598470604307738,0.5670696920242563,0.46419726750264856,2.133615267739108,0.3379718357711426,-0.4634051336732928,1.0556017296407716,0.324435243983792,A3,talamo_anterior,LD,lh,volume,thal,S,True,46,Núcleo talámico,A_sin_ansiedad,0.5565843415658434,False,8
thal_rh_LD,46,"Q('thal_rh_LD') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.129428388890491,2,39,0.33356051003894,0.4568840013139357,0.3317668233176682,0.05474840929178236,0.0005303730554381247,0.20188253156374553,0.3001015367645537,0.24252781255884553,0.8974698301516942,19,17,10,22.347567823529413,21.71260352631579,26.5428739,-3.7056416789603785,-0.48503274236125765,-1.510975562510439,0.6325825733054973,0.25265492222446134,0.950025843383715,0.12434921669483869,-0.6583945687075367,0.8511274512063011,0.7154630431243103,A3,talamo_anterior,LD,rh,volume,thal,S,True,46,Núcleo talámico,A_sin_ansiedad,0.5565843415658434,False,8
thal_lh_VA,46,"Q('thal_lh_VA') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.0986237792227052,2,39,0.343423423389186,0.42865801815332266,0.3478652134786521,0.05333481454867186,0.00046321927849330325,0.17279723270563818,0.5047687315695348,0.8804037127603344,0.6046308730952517,19,17,10,389.69330682352944,405.06101810526314,400.5419376,7.580460165526063,0.2040268076031593,-0.8466824199799212,1.121897712914861,0.6279906261445231,-13.299800197491699,-0.3579618805193983,-1.1231031804753346,0.3820158435602839,0.2970059799089691,A3,talamo_anterior,VA,lh,volume,thal,S,True,46,Núcleo talámico,A_sin_ansiedad,0.5565843415658434,False,8
thal_rh_VA,46,"Q('thal_rh_VA') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.26514255318006,2,39,0.29352428719158913,0.2782787058400694,0.2937706229377062,0.06092626380676163,0.00020887895026250032,0.18974992472793384,0.2204133925272538,0.4474138607552843,0.4521505089666043,19,17,10,384.320474,408.339278,415.60282049999995,-13.818301522357757,-0.35995830209497787,-1.2727785548546038,0.4776988884057148,0.39412182999262513,-20.50141173077532,-0.5340492350105259,-1.2075583860521628,0.20968739469799597,0.12287667460615828,A3,talamo_anterior,VA,rh,volume,thal,S,True,46,Núcleo talámico,A_sin_ansiedad,0.5565843415658434,False,8
thal_lh_VAmc,46,"Q('thal_lh_VAmc') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.228982580754827,2,39,0.30367160376334906,0.31587443889617195,0.2940705929407059,0.05928812839544943,0.0008014676259321474,0.1938240003759446,0.4137611701742492,0.9404615761317728,0.8254082090636308,19,17,10,30.23188011764706,31.733439999999998,31.2469586,0.46807251127732563,0.14860345918233134,-0.7279584773618947,1.0453818928012568,0.7239532768516996,-1.3107877691438148,-0.4161483361137895,-1.1781634347843204,0.4171689154954459,0.22649580221530471,A3,talamo_anterior,VAmc,lh,volume,thal,S,True,46,Núcleo talámico,A_sin_ansiedad,0.5565843415658434,False,8
thal_rh_VAmc,46,"Q('thal_rh_VAmc') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.18292855388937054,2,39,0.8335381053883368,0.8228420342435175,0.8329167083291671,0.00929376710323036,7.72788626055874e-06,0.03693697471728724,0.6406327619503999,0.5844479371972757,0.6377821832478405,19,17,10,31.736295647058824,32.61796984210527,33.537582900000004,-0.34383537236761086,-0.11033034388191469,-0.9075295314361461,0.7558455031195592,0.7930800745722284,-0.6383216986595017,-0.20482550133060384,-0.8891890599922089,0.5480480245427153,0.5487975609816639,A3,talamo_anterior,VAmc,rh,volume,thal,S,True,46,Núcleo talámico,A_sin_ansiedad,0.8329167083291671,False,8
amyg_lh_Lateral_nucleus,46,"Q('amyg_lh_Lateral_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.6023060082984044,2,39,0.21440827821515424,0.2801998709816706,0.2186781321867813,0.07593037498689971,0.0011251278534388754,0.24983857985160315,0.15690178397729193,0.5849895335903452,0.6244784936231689,19,17,10,646.6705475882353,690.0809355789473,712.6875189,-22.291860992687077,-0.3254482494973049,-1.2628118000770554,0.5654087178710443,0.4406323273248468,-41.522868924741715,-0.6062098184667667,-1.3945122266238605,0.22008449350431786,0.08120917669667525,A3,amigdala,Lateral nucleus,lh,volume,amyg,S,True,46,Núcleo amigdalino,A_sin_ansiedad,0.46235376462353767,False,20
amyg_rh_Lateral_nucleus,46,"Q('amyg_rh_Lateral_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.6041907600927625,2,39,0.21403519741904323,0.26040807231419993,0.20837916208379162,0.07601290086546353,0.0010497839803273363,0.2204903497396354,0.20785460694630234,0.3723498234837068,0.6988642276317378,19,17,10,668.3665761764705,711.8243116842104,741.647751,-24.73409363545494,-0.35989005715156197,-1.230250180604501,0.6013153431185246,0.39421065674002337,-41.612466409016534,-0.6054765189653556,-1.279887838467598,0.14616455937499576,0.08156368883128812,A3,amigdala,Lateral nucleus,rh,volume,amyg,S,True,46,Núcleo amigdalino,A_sin_ansiedad,0.46235376462353767,False,20
amyg_lh_Basal_nucleus,46,"Q('amyg_lh_Basal_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",2.8051974299978903,2,39,0.07273719080640531,0.0793158934346443,0.07749225077492251,0.12576429501696437,0.007250585649424485,0.29054104977575396,0.14319415100091779,0.8799820886341503,0.8716284750138678,19,17,10,420.64556988235296,443.9653182631579,479.2453413,-26.44257962016593,-0.7879303985887406,-1.6478855533767955,0.03419870570103985,0.06672918932481206,-23.876507703364137,-0.711467129979688,-1.4059543822014091,0.029409371836920783,0.042165607393764654,A3,amigdala,Basal nucleus,lh,volume,amyg,S,True,46,Núcleo amigdalino,A_sin_ansiedad,0.39916008399160086,False,20
amyg_rh_Basal_nucleus,46,"Q('amyg_rh_Basal_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.5540362941944373,2,39,0.5790817628966289,0.6131258031444342,0.5784421557844216,0.027627171212152864,0.00012146308178372401,0.10486599615615555,0.3125950866469165,0.7676739494712761,0.690316664967611,19,17,10,445.0412617647059,462.28803515789474,497.86982879999994,-16.00068002849264,-0.3234932050450074,-1.2024824432908714,0.5688844033222618,0.44336176404632305,-16.338181836917535,-0.3303166363942649,-1.0391607511850545,0.42781003906575127,0.33537974833616646,A3,amigdala,Basal nucleus,rh,volume,amyg,S,True,46,Núcleo amigdalino,A_sin_ansiedad,0.6462511643572486,False,20
amyg_lh_Accessory_Basal_nucleus,46,"Q('amyg_lh_Accessory_Basal_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",3.1114696918040585,2,39,0.05575239003917001,0.05081484364102944,0.0552944705529447,0.1376058139613927,0.009840934868793475,0.32221065955019046,0.09537147024696242,0.17990965943740145,0.8453618420715717,19,17,10,255.8756840588235,273.81083921052635,282.93455800000004,-9.886671428335816,-0.4484628726903558,-1.4007272294401538,0.508767128318371,0.28961509593695917,-18.623945437260215,-0.8447886765695868,-1.5338606818837024,-0.10619011453933438,0.016955571375643165,A3,amigdala,Accessory Basal nucleus,lh,volume,amyg,S,True,46,Núcleo amigdalino,A_sin_ansiedad,0.39916008399160086,False,20
amyg_rh_Accessory_Basal_nucleus,46,"Q('amyg_rh_Accessory_Basal_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.6908703441218093,2,39,0.5071677646263829,0.5226520309143331,0.5114488551144886,0.034216966992853926,7.746606941617082e-05,0.13116759267200928,0.5040441123580384,0.7395757975525352,0.5706690380256338,19,17,10,276.00962105882354,287.67073415789474,300.5352787,-3.2004124700303294,-0.10220953079703884,-1.0923021603018563,0.8358143240067025,0.8079891235800833,-12.132318071384631,-0.3874621003288701,-1.1065699074834086,0.38425094167620766,0.25954307810062505,A3,amigdala,Accessory Basal nucleus,rh,volume,amyg,S,True,46,Núcleo amigdalino,A_sin_ansiedad,0.6462511643572486,False,20
amyg_lh_Central_nucleus,46,"Q('amyg_lh_Central_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.027138677176015837,2,39,0.9732446302320359,0.9763930671528506,0.9732026797320268,0.0013897928224239247,8.459295980735241e-06,0.0014375836079571203,0.6869284198730705,0.39592367294124,0.6643664441871153,19,17,10,51.650505470588236,49.956217894736845,53.77637610000001,-0.29327819445860825,-0.030763489764936657,-0.8985294272160224,0.8654872453080049,0.9416700209348149,0.5437609919146915,0.057037945627765776,-0.7529181616625823,0.7548225055501522,0.867118195616792,A3,amigdala,Central nucleus,lh,volume,amyg,S,True,46,Núcleo amigdalino,A_sin_ansiedad,0.9732026797320268,False,20
amyg_rh_Central_nucleus,46,"Q('amyg_rh_Central_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.5077410415888897,2,39,0.6057770220844773,0.6793271171056755,0.6008399160083991,0.025377229769891506,3.937307788093191e-05,0.08680615746067263,0.8914793579124296,0.14342613579132968,0.6087793329401775,19,17,10,58.52474947058823,56.696105631578945,57.6184629,5.3296203642516,0.42093320369016507,-0.5117402547998474,1.257023695125246,0.31982742749086973,1.8829109497354448,0.14871223167257025,-0.6056950571176838,0.8826787364457555,0.6629906657023992,A3,amigdala,Central nucleus,rh,volume,amyg,S,True,46,Núcleo amigdalino,A_sin_ansiedad,0.6462511643572486,False,20
amyg_lh_Medial_nucleus,46,"Q('amyg_lh_Medial_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.1619320827984583,2,39,0.3234757982735034,0.39460291177471374,0.32256774322567744,0.05623540325959129,0.000727165009197448,0.18714742861620323,0.6098626751185514,0.23019317648759563,0.7585528207126789,19,17,10,23.88703017647059,25.09092636842105,22.2049271,2.333881296475214,0.3800391961041814,-0.44464239569746405,1.2629020360098104,0.36853339093396636,-1.4925126277461573,-0.24303433944161298,-1.062077021427907,0.5166946279878287,0.47724841752115943,A3,amigdala,Medial nucleus,lh,volume,amyg,S,True,46,Núcleo amigdalino,A_sin_ansiedad,0.54994500549945,False,20
amyg_rh_Medial_nucleus,46,"Q('amyg_rh_Medial_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.5713729032283942,2,39,0.5694057746860782,0.6865799987901375,0.5743425657434257,0.028467056338557256,2.1770685818145465e-05,0.11537274076852727,0.9663338571953002,0.9706547113937255,0.3104670682086667,19,17,10,27.401494411764705,27.24218231578947,26.485911699999996,2.549258400912068,0.3753405682661651,-0.6889866998993154,1.2568491345408233,0.3744224638572955,-0.3221639677805004,-0.047433875945393604,-0.7381791113597387,0.617257933016007,0.8893280953018076,A3,amigdala,Medial nucleus,rh,volume,amyg,S,True,46,Núcleo amigdalino,A_sin_ansiedad,0.6462511643572486,False,20
