variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,familia_fdr,roi,hemi,medida,atlas,tipo,ajusta_etiv,n_esperado,bloque,modelo,p_fdr,sobrevive_fdr,n_familia
thal_lh_VA,31,"Q('thal_lh_VA') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.600887349199809,2,22,0.5570782868136506,0.732098169902697,0.5578442155784421,0.05179667133318523,3.7578301038769445e-05,0.18770562434452984,0.5904554786640799,0.8279573365202029,0.8859355370828256,13,13,5,393.1649903846154,409.5408031538461,406.33323340000004,14.206721471746576,0.31934287993885435,-1.955157784004451,2.070140882928684,0.6265212923369146,-13.206782766117911,-0.2968659624703984,-1.57370854045164,1.3585907071550702,0.5373491969695047,A3,talamo_anterior,VA,lh,volume,thal,S,True,46,Núcleo talámico,B_con_ansiedad,0.7929873679298737,False,8
thal_rh_VA,31,"Q('thal_rh_VA') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.0735509599173647,2,22,0.35903296204836577,0.35969225925938525,0.36546345365463456,0.08891758219942217,0.00011656769573833363,0.31054904575124287,0.3958923677725272,0.24007907564846093,0.3401067186686201,13,13,5,390.6527446153846,416.04691246153845,413.8966408,-0.3122871324331413,-0.00786844712691711,-2.391007832616096,1.684149323515598,0.9904070847964414,-24.347633021427363,-0.6134676814956438,-1.6105178160650704,1.2462309794567894,0.2087724624237007,A3,talamo_anterior,VA,rh,volume,thal,S,True,46,Núcleo talámico,B_con_ansiedad,0.7929873679298737,False,8
thal_lh_VAmc,31,"Q('thal_lh_VAmc') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.0357528364763473,2,22,0.3716324857981175,0.36925320110953747,0.36826317368263173,0.08605633985248737,0.00029694912854043857,0.2577537353578484,0.5769856024218147,0.8894908783342466,0.5468630079779037,13,13,5,30.861667384615387,32.01780315384615,31.3628182,1.4909329167576804,0.4344547839505517,-1.8319037810882126,1.9056097943593207,0.5089263898162603,-1.3020764276171852,-0.3794223916376728,-1.8316967118506249,1.16879277469336,0.4317577516805808,A3,talamo_anterior,VAmc,lh,volume,thal,S,True,46,Núcleo talámico,B_con_ansiedad,0.7929873679298737,False,8
thal_rh_VAmc,31,"Q('thal_rh_VAmc') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.9303733687537803,2,22,0.4093786101558719,0.5627877019841353,0.41705829417058293,0.07798359196288632,0.00043481010311299193,0.29004802103784355,0.8634353721270102,0.8225208983525543,0.3952593742949218,13,13,5,32.30154246153846,33.13419953846154,32.9757186,0.8637865836404615,0.28626677391573035,-2.401925782598874,1.9267971237694952,0.6625026598388979,-1.3222467504728606,-0.43820466623035087,-1.586586033341084,1.4112042433200598,0.36501527776851567,A3,talamo_anterior,VAmc,rh,volume,thal,S,True,46,Núcleo talámico,B_con_ansiedad,0.7929873679298737,False,8
amyg_lh_Lateral_nucleus,31,"Q('amyg_lh_Lateral_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.88320108714717,2,22,0.42761371634726,0.3371173067333721,0.4236576342365763,0.07432349925496401,0.0006219289738062268,0.24032587853267687,0.13970276599234605,0.8710120625081414,0.5491471672461333,13,13,5,647.1623081538462,691.354477076923,729.6770278,-13.334221908913527,-0.20428834581438907,-2.0255142349466495,1.2853805205734319,0.7551864886274812,-39.763650078103595,-0.6092031731201231,-1.4958008041854147,0.896067860197469,0.21184095384127036,A3,amigdala,Lateral nucleus,lh,volume,amyg,S,True,46,Núcleo amigdalino,B_con_ansiedad,0.7008529916239145,False,20
amyg_rh_Lateral_nucleus,31,"Q('amyg_rh_Lateral_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.9241331099643727,2,22,0.411741428379708,0.40495389583246355,0.40585941405859416,0.07750107294526284,0.0005776895340422041,0.2118580593829342,0.21026907778812856,0.058093381957892314,0.916983402618668,13,13,5,665.0512484615385,709.9376915384616,748.5901232,1.5294493481307967,0.02549884363695407,-1.812919421962612,1.5476360837687682,0.9689203767156358,-33.442118282718766,-0.5575440246005741,-1.2293459703996468,0.6522455266466094,0.25182093402383715,A3,amigdala,Lateral nucleus,rh,volume,amyg,S,True,46,Núcleo amigdalino,B_con_ansiedad,0.7008529916239145,False,20
amyg_lh_Basal_nucleus,31,"Q('amyg_lh_Basal_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.0272783015512803,2,22,0.3745230688212804,0.23748705150599658,0.36826317368263173,0.08541236643861327,0.0009259049668837207,0.22008451216146635,0.19066104432405404,0.7196693684050869,0.9541513889339166,13,13,5,418.228933,446.63922838461536,482.18103540000004,-13.850438090720445,-0.40235963832212457,-2.282376911492574,1.1290005342970897,0.5404366152904312,-23.349866845088524,-0.6783210694941197,-1.4114456239325388,0.5690390377452315,0.166251076728112,A3,amigdala,Basal nucleus,lh,volume,amyg,S,True,46,Núcleo amigdalino,B_con_ansiedad,0.7008529916239145,False,20
amyg_rh_Basal_nucleus,31,"Q('amyg_rh_Basal_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.043586015463090245,2,22,0.9574326584124431,0.9743121693908497,0.9608039196080392,0.003946726670309957,6.433805489575475e-05,0.0057708154300899015,0.48115025250643073,0.37163574362970353,0.7620423590863475,13,13,5,444.1584273076923,453.45629938461536,503.35964619999993,9.217062118332692,0.17568669181870164,-2.166820652551104,1.8454309571755676,0.7885211949628743,0.6718970515434712,0.012807049438630173,-0.9150357360611011,1.1923479643756285,0.9786767880327628,A3,amigdala,Basal nucleus,rh,volume,amyg,S,True,46,Núcleo amigdalino,B_con_ansiedad,0.9955004499550045,False,20
amyg_lh_Accessory_Basal_nucleus,31,"Q('amyg_lh_Accessory_Basal_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",1.3649767694740356,2,22,0.2761806098269656,0.27898617778046075,0.27947205279472054,0.11039056481236699,0.0021974616383274746,0.33682814822603235,0.0573085638007625,0.3165307575379429,0.9487201102816413,13,13,5,255.9528319230769,276.38592784615383,282.67499699999996,-5.206434784762465,-0.24458630673591764,-1.6021415455227754,1.522755611184494,0.7090490575925104,-16.082771217570546,-0.7555315252765166,-1.8144608440531664,0.4736883730237645,0.1250246053444988,A3,amigdala,Accessory Basal nucleus,lh,volume,amyg,S,True,46,Núcleo amigdalino,B_con_ansiedad,0.7008529916239145,False,20
amyg_rh_Accessory_Basal_nucleus,31,"Q('amyg_rh_Accessory_Basal_nucleus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + STAI_Rasgo + BDI + eTIV",0.832156513962982,2,22,0.44834937929879265,0.6235071764640766,0.44825517448255175,0.0703300799800074,0.0004409073504658433,0.25470304661858806,0.8695631951198164,0.4332141000102999,0.35052560095454016,13,13,5,276.1740046923077,285.6870970769231,291.8973138,21.01869769036312,0.5884089116127379,-2.1720772868062768,2.179732592956374,0.373005088208981,-6.309430281671133,-0.17662963993419636,-1.0616966302186857,1.0779150797762074,0.7128397632427416,A3,amigdala,Accessory Basal nucleus,rh,volume,amyg,S,True,46,Núcleo amigdalino,B_con_ansiedad,0.7008529916239145,False,20
